ID_Point;Latitude;Longitude;Type_emplacement;Accessibilite;RefStation;Nb_places;RefOp;RefConnecteur;RefFabricant
FR*W75*EVP*0155*0002;48.8585701;2.2851211;mixte;7/7-24/24;FR*W75*PVP*0155;1;OP02;CON03;F2
FR*W75*EVP*0155*0005;48.8585701;2.2851211;mixte;7/7-24/24;FR*W75*PVP*0155;1;OP02;CON03;F2
FR*W75*EVP*0163*0001;48.88879;2.32219;chaussée;7/7-24/24;FR*W75*PVP*0163;1;OP02;CON03;F2
FR*W75*EVP*0167*0004;48.8876949;2.3050366;trottoir;7/7-24/24;FR*W75*PVP*0167;1;OP02;CON03;F2
FR*W75*EVP*0172*0002;48.876042;2.288446;trottoir;7/7-24/24;FR*W75*PVP*0172;1;OP02;CON03;F2
FR*W75*EVP*0178*0005;48.8948847;2.3355224;trottoir;7/7-24/24;FR*W75*PVP*0178;1;OP02;CON03;F2
FR*W75*EVP*0180*0005;48.8916426;2.3449781;trottoir;7/7-24/24;FR*W75*PVP*0180;1;OP02;CON03;F2
FR*W75*EVP*0185*0003;48.8967147;2.3591686;trottoir;7/7-24/24;FR*W75*PVP*0185;1;OP02;CON03;F2
FR*W75*EVP*0186*0003;48.8822728;2.3395493;mixte;7/7-24/24;FR*W75*PVP*0186;1;OP02;CON03;F2
FR*W75*EVP*0190*0001;48.888588;2.3888175;trottoir;7/7-24/24;FR*W75*PVP*0190;1;OP02;CON03;F2
FR*W75*EVP*0198*0005;48.882362;2.386574;trottoir;7/7-24/24;FR*W75*PVP*0198;1;OP02;CON03;F2
FR*W75*EVP*0200*0001;48.8738701;2.3864659;trottoir;7/7-24/24;FR*W75*PVP*0200;1;OP02;CON03;F2
FR*W75*EVP*0201*0004;48.8723314;2.3995098;chaussée;7/7-24/24;FR*W75*PVP*0201;1;OP02;CON03;F2
FR*W75*EVP*0202*0001;48.86959;2.400348;trottoir;7/7-24/24;FR*W75*PVP*0202;1;OP02;CON04;F2
FR*W75*EVP*0211*0001;48.8657;2.408668;trottoir;7/7-24/24;FR*W75*PVP*0211;1;OP02;CON03;F2
FR*W75*EVP*0218*0003;48.864827;2.275431;trottoir;7/7-24/24;FR*W75*PVP*0218;1;OP02;CON03;F2
FR*W75*EVP*0221*0001;48.8828511;2.3429887;trottoir;7/7-24/24;FR*W75*PVP*0221;1;OP02;CON03;F2
FR*W75*EVP*0221*0004;48.8828511;2.3429887;trottoir;7/7-24/24;FR*W75*PVP*0221;1;OP02;CON03;F2
FR*W75*EVP*0225*0002;48.8867348;2.2955406;mixte;7/7-24/24;FR*W75*PVP*0225;1;OP02;CON03;F2
FR*W75*EVP*0227*0001;48.8491535;2.4133021;trottoir;7/7-24/24;FR*W75*PVP*0227;1;OP02;CON03;F2
